Bloomington;40,4757;-88,9703
Bloomsburg;41,0027;-76,4561
Blue Ash;39,248;-84,3827
Blue Bell;40,1474;-75,2687
Blue Island;41,6578;-87,6812
Blue Springs;39,0124;-94,2721
Bluefield;37,2608;-81,2143
Bluffdale;40,4744;-111,9381
Bluffton;32,2135;-80,9316
Blythe;33,622;-114,6188
Blytheville;35,9321;-89,9051
Boardman;41,0334;-80,6671
Boaz;34,1985;-86,1529
Boca Raton;26,3752;-80,108
Boerne;29,7844;-98,7289
Bogalusa;30,7812;-89,8633
Bogota;40,875;-74,0293
Bohemia;40,7717;-73,1271
Boiling Spring Lakes;34,0322;-78,068
Boiling Springs;35,045;-81,9779
Boise;43,6007;-116,2312
Bolingbrook;41,6903;-88,1019
Bolivar;37,6057;-93,4174
Bolton;42,4362;-71,6073
Bon Air;37,5187;-77,5713
Bondurant;41,6986;-93,4551
Bonham;33,588;-96,1901
Bonita;32,6652;-117,0295
Bonita Springs;26,3559;-81,7861
Bonne Terre;37,9209;-90,5426
Bonner Springs;39,0817;-94,8776
Bonney Lake;47,1791;-122,17
Boone;36,2111;-81,6668
Booneville;34,6643;-88,5684
Boonton;40,9047;-74,4048
Boonville;38,9588;-92,7471
Boothwyn;39,8357;-75,4453
Bordentown;40,142;-74,7098
Borger;35,6598;-101,4012
Bossier City;32,5227;-93,6666
Boston;42,3188;-71,0846
Bostonia;32,8189;-116,9479
Bothell;47,7735;-122,2044
Bothell East;47,8064;-122,1845
Bothell West;47,8056;-122,2401
Boulder;40,0249;-105,2523
Boulder City;35,8407;-114,9257
Boulder Hill;41,7112;-88,3353
Bound Brook;40,5676;-74,5383
Bountiful;40,8722;-111,8647
Bourbonnais;41,183;-87,878
Bourne;41,723;-70,5819
Bow;43,1308;-71,5307
Bowie;38,9569;-76,7409
Bowleys Quarters;39,3198;-76,3858
Bowling Green;36,9719;-86,4373
Box Elder;44,1121;-103,0827
Boxborough;42,4884;-71,5178
Boxford;42,6815;-71,0189
Boyes Hot Springs;38,3126;-122,4888
Boynton Beach;26,5281;-80,0811
Bozeman;45,6832;-111,0552
Bradenton;27,49;-82,5739
Bradford;41,9604;-78,6414
Bradley;41,1641;-87,8452
Bradley Gardens;40,5711;-74,6678
Brady;31,1322;-99,3697
Braidwood;41,2696;-88,2235
Brainerd;46,3553;-94,1982
Braintree;42,2039;-71,0022
Brambleton;38,9802;-77,5323
Branchburg;40,5629;-74,714
Brandermill;37,434;-77,6522
Brandon;27,9367;-82,3
Brandywine;38,6963;-76,8846
Branford;41,2841;-72,7981
Branford Center;41,2779;-72,8148
Branson;36,651;-93,2635
Braselton;34,1088;-83,8128
Brattleboro;42,8618;-72,6145
Brawley;32,9783;-115,5287
Brazil;39,5226;-87,124
Brea;33,9254;-117,8656
Breaux Bridge;30,2829;-91,9043
Breckenridge;39,4995;-106,0433
Brecknock;40,1977;-76,027
Brecksville;41,3079;-81,6193
Breese;38,6138;-89,523
Breinigsville;40,5394;-75,6344
Bremen;33,7085;-85,1495
Bremerton;47,5436;-122,7122
Brenham;30,1585;-96,3964
Brent;30,4729;-87,2496
Brentwood;40,7839;-73,2522
Bret Harte;37,6021;-121,0045
Brevard;35,2439;-82,7264
Brewer;44,7835;-68,7352
Brewster;41,7463;-70,0675
Brewton;31,1111;-87,0737
Briarcliff Manor;41,14;-73,844
Brick;14763;-74,1099
Bridge City;30,0298;-93,8406
Bridgeport;41,1918;-73,1953
Bridgeton;39,4286;-75,2281
Bridgetown;39,1551;-84,6359
Bridgeview;41,7403;-87,8067
Bridgewater;40,5934;-74,6076
Bridgton;44,0481;-70,7362
Brier;47,7924;-122,2734
Brigantine;39,4138;-74,3787
Brigham City;41,5034;-112,0454
Bright;39,2254;-84,8613
Brighton;39,9716;-104,7964
Brighton Township;43,1175;-77,5835
Bristol;36,5572;-82,2154
Broadalbin;43,0764;-74,1574
Broadlands;39,0168;-77,5167
Broadmoor;37,6914;-122,4811
Broadview;41,8584;-87,8562
Broadview Heights;41,3195;-81,6782
Broadview Park;26,0979;-80,2088
Broadway;38,6083;-78,8016
Brock Hall;38,8617;-76,7549
Brockport;43,2137;-77,9404
Brockton;42,0821;-71,0242
Broken Arrow;36,0365;-95,7809
Bronx;40,8501;-73,8662
Bronxville;40,9394;-73,8263
Brook Highland;33,4359;-86,6849
Brook Park;41,4036;-81,8219
Brookdale;40,8348;-74,1798
Brookfield;41,8245;-87,847
Brookhaven;40,8321;-72,9518
Brookings;44,3022;-96,7859
Brookline;42,3243;-71,1408
Brooklyn;40,6501;-73,9496
Brooklyn Center;45,0681;-93,3162
Brooklyn Park;45,1112;-93,3505
Brookshire;29,7824;-95,9515
Brookside;39,6666;-75,7153
Brooksville;28,5404;-82,3903
Brookville;39,8393;-84,4176
Broomall;39,9694;-75,3529
Broomfield;39,9541;-105,0527
Broussard;30,1393;-91,9538
Brown Deer;43,1743;-87,975
Brownfield;33,1757;-102,273
Brownfields;30,5467;-91,1225
Browns Mills;39,9737;-74,5689
Brownsburg;39,833;-86,3824
Brownsville;25,998;-97,4565
Brownville;44,0298;-76,053
Brownwood;31,7127;-98,9767
Brunswick;31,145;-81,474
Brush;40,2598;-103,6323
Brushy Creek;30,5125;-97,7388
Bryan;30,6657;-96,3668
Bryans Road;38,6144;-77,085
Bryant;34,6152;-92,4914
Bryn Mawr-Skyway;47,4949;-122,2411
Buckeye;33,4314;-112,6429
Buckhall;38,725;-77,4472
Buckhannon;38,9927;-80,2282
Buckingham;40,3188;-75,058
Buckley;47,1615;-122,02
